"filename", "language", "JSON", "Makefile", "Markdown", "Python", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "YAML", "toml", "Docker", "Ini", "JavaScript", "comment", "blank", "total"
"/home/cl/agent-edu/.agents/skills/frontend-design/SKILL.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 56
"/home/cl/agent-edu/.qoder/settings.local.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/cl/agent-edu/.qoder/skills/frontend-design/SKILL.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 56
"/home/cl/agent-edu/AGENTS.md", "Markdown", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 99
"/home/cl/agent-edu/ARCHITECTURE.md", "Markdown", 0, 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 443
"/home/cl/agent-edu/CLAUDE.md", "Markdown", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 325
"/home/cl/agent-edu/CONVENTIONS.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 84
"/home/cl/agent-edu/Makefile", "Makefile", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 134
"/home/cl/agent-edu/README.md", "Markdown", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 142
"/home/cl/agent-edu/alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 9, 37
"/home/cl/agent-edu/alembic/env.py", "Python", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 72
"/home/cl/agent-edu/alembic/versions/0001_phase1_bootstrap.py", "Python", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 74
"/home/cl/agent-edu/alembic/versions/0002_session_metadata_and_status.py", "Python", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 41
